DD;Fecha;NDVI;;kc;Temporada;
334;1 de mayo de 2022;0.483316;483316;0.61393775;19-20;44348
344;11 de mayo de 2022;0.394859;394859;0.508895063;19-20;44348
349;16 de mayo de 2022;0.384898;384898;0.497066375;19-20;44348
359;26 de mayo de 2022;0.305355;305355;0.402609063;19-20;44348
364;31 de mayo de 2022;0.310421;310421;0.408624938;19-20;44348
3;4 de junio de 2021;0.288209;288209;0.382248188;20-21;44348
13;14 de junio de 2021;0.265075;265075;0.354776563;20-21;44348
18;19 de junio de 2021;0.208528;208528;0.287627;20-21;44348
43;14 de julio de 2021;0.248067;248067;0.334579563;20-21;44348
48;19 de julio de 2021;0.209428;209428;0.28869575;20-21;44348
53;24 de julio de 2021;0.29237;29237;0.387189375;20-21;44348
58;29 de julio de 2021;0.212109;212109;0.291879438;20-21;44348
63;3 de agosto de 2021;0.201601;201601;0.279401188;20-21;44348
73;13 de agosto de 2021;0.211443;211443;0.291088563;20-21;44348
78;18 de agosto de 2021;0.194697;194697;0.271202688;20-21;44348
83;23 de agosto de 2021;0.205257;205257;0.283742688;20-21;44348
93;2 de septiembre de 2021;0.185556;185556;0.26034775;20-21;44348
98;7 de septiembre de 2021;0.182381;182381;0.256577438;20-21;44348
103;12 de septiembre de 2021;0.189722;189722;0.265294875;20-21;44348
108;17 de septiembre de 2021;0.168857;168857;0.240517688;20-21;44348
113;22 de septiembre de 2021;0.180651;180651;0.254523063;20-21;44348
118;27 de septiembre de 2021;0.194751;194751;0.271266813;20-21;44348
123;2 de octubre de 2021;0.193928;193928;0.2702895;20-21;44348
128;7 de octubre de 2021;0.198885;198885;0.276175938;20-21;44348
133;12 de octubre de 2021;0.205513;205513;0.284046688;20-21;44348
138;17 de octubre de 2021;0.269377;269377;0.359885188;20-21;44348
143;22 de octubre de 2021;0.32078;32078;0.42092625;20-21;44348
153;1 de noviembre de 2021;0.401108;401108;0.51631575;20-21;44348
158;6 de noviembre de 2021;0.408929;408929;0.525603188;20-21;44348
168;16 de noviembre de 2021;0.422181;422181;0.541339938;20-21;44348
173;21 de noviembre de 2021;0.429224;429224;0.5497035;20-21;44348
178;26 de noviembre de 2021;0.409756;409756;0.52658525;20-21;44348
183;1 de diciembre de 2021;0.40177;40177;0.517101875;20-21;44348
188;6 de diciembre de 2021;0.40452;40452;0.5203675;20-21;44348
193;11 de diciembre de 2021;0.407639;407639;0.524071313;20-21;44348
198;16 de diciembre de 2021;0.423446;423446;0.542842125;20-21;44348
203;21 de diciembre de 2021;0.405525;405525;0.521560938;20-21;44348
213;31 de diciembre de 2021;0.40988;40988;0.5267325;20-21;44348
233;20 de enero de 2022;0.443519;443519;0.566678813;20-21;44348
238;25 de enero de 2022;0.397044;397044;0.51148975;20-21;44348
248;4 de febrero de 2022;0.494876;494876;0.62766525;20-21;44348
258;14 de febrero de 2022;0.539619;539619;0.680797563;20-21;44348
268;24 de febrero de 2022;0.454596;454596;0.57983275;20-21;44348
273;1 de marzo de 2022;0.52021;52021;0.657749375;20-21;44348
278;6 de marzo de 2022;0.427859;427859;0.548082563;20-21;44348
293;21 de marzo de 2022;0.44123;44123;0.563960625;20-21;44348
303;31 de marzo de 2022;0.436798;436798;0.558697625;20-21;44348
318;15 de abril de 2022;0.448186;448186;0.572220875;20-21;44348
323;20 de abril de 2022;0.401191;401191;0.516414313;20-21;44348
328;25 de abril de 2022;0.41217;41217;0.529451875;20-21;44348
338;5 de mayo de 2022;0.406492;406492;0.52270925;20-21;44348
348;15 de mayo de 2022;0.350745;350745;0.456509688;20-21;44348
358;25 de mayo de 2022;0.363448;363448;0.4715945;20-21;44348
363;30 de mayo de 2022;0.331548;331548;0.43371325;20-21;44348
23;24 de junio de 2021;0.261091;261091;0.350045563;21-22;44348
28;29 de junio de 2021;0.314039;314039;0.412921313;21-22;44348
33;4 de julio de 2021;0.254572;254572;0.34230425;21-22;44348
38;9 de julio de 2021;0.249138;249138;0.335851375;21-22;44348
43;14 de julio de 2021;0.228116;228116;0.31088775;21-22;44348
48;19 de julio de 2021;0.228217;228217;0.311007688;21-22;44348
58;29 de julio de 2021;0.221922;221922;0.303532375;21-22;44348
63;3 de agosto de 2021;0.20559;20559;0.284138125;21-22;44348
73;13 de agosto de 2021;0.207134;207134;0.285971625;21-22;44348
78;18 de agosto de 2021;0.184433;184433;0.259014188;21-22;44348
103;12 de septiembre de 2021;0.190452;190452;0.26616175;21-22;44348
108;17 de septiembre de 2021;0.191417;191417;0.267307688;21-22;44348
113;22 de septiembre de 2021;0.1563;1563;0.22560625;21-22;44348
118;27 de septiembre de 2021;0.182623;182623;0.256864813;21-22;44348
123;2 de octubre de 2021;0.186696;186696;0.2617015;21-22;44348
128;7 de octubre de 2021;0.193643;193643;0.269951063;21-22;44348
138;17 de octubre de 2021;0.235736;235736;0.3199365;21-22;44348
158;6 de noviembre de 2021;0.402718;402718;0.518227625;21-22;44348
